Arsenolamprit 5.4
Arsenolith 3.7
Arsenopalladinit 11.02
Arsenopyrit 5.9
Arsenosulvanit 4.43
Arsenovanmeersscheit 4.91
Arsentsumebit 6.1
Arsenuranospathit 2.61
Arsiccioit 3.9
Artinit 4.15
Artroeit 6.65
Artsmithit 2.93
Arupit 8.692
Arzakit 4.011
Arzrunit 2.716
As-Tetraedrit 2.47
Asbecasit 3.32
Aschamalmit 1.75
Ashanit 1.67
Ashburtonit 2.62
Ashcroftin-(Y) 2.7
Ashoverit 7.828
Asisit 2.831
Aspedamit 4.375
Asselbornit 3.17
Astrolith 2.74
Astrophyllit 2.57
Astrophyllit-Gruppe 2.12
Atacamit 2.57
Atelestit 1.715
Atelisit-(Y) 4.84
Athabascait 3.05
Atheneit 3.05
Attakolith 2.61
Attikait 6.61
Augelith 5.88
Augenachat 3.8
Auriacusit 13.49
Auricuprid 2.8
Auripigment 3.2
Auroantimonat 2.71
Aurorit 1.81
Aurostibit 2.33
Austinit 2.35
Autunit 2.35
Avdoninit 2.3
Aventurin 2.34
Aventurin-Quarz 5.33
Averievit 2.58
Awaruit 3
Axinit-(Fe) 3.467
Axinit-(Mg) 5.88
Azoproit 3.365
Azulicit 6.686
Azurit 2.66
Azurlit 2.23
Azurmalachit 3.13
BEA-Zeolith-Strukturgruppe 2.73
BIK-Zeolith-Strukturgruppe 2.917
BOG-Zeolith-Strukturgruppe 3.79
Bab 5.17
Babefphit 2.68
Babkinit 2.95
Babylonquarz 2.1
Baddeleyit 2.9
Bafertisit 3.07
Baghdadit 1.715
Bahianit 2.77
Baikalit 10.2
Baileychlor 3.47
Bairdit 6.2
Bakerit 4.9
Bakhchisaraitsevit 2.62
Baksanit 7.9
Balangeroit 3.08
Balavinskit 2.81
Balestrait 8.12
Bali&#263; 11.16
Balkanit 2.93
Balliranoit 3.6
Balyakinit 2.1
Bambollait 2.83
Bamfordit 2.81
Banalsit 6.23
Bandylith 5.83
Bannermanit 1.722
Baotit 6.94
Barahonait-(Fe) 2.41
Baratovit 4.45
Barberiit 6.05
Barbertonit 4.77
Barbosalith 2.734
Barentsit 9.38
Bari&#263;it 3.75
Bariandit 2.903
Bario-Olgit 2.65
Bario-orthojoaquinit 3.67
Barioferrit 6.37
Bariomikrolith 2.98
Barioperowskit 2.98
Bariopharmakoalumit 2.28
Bariopharmakosiderit 4.78
Bariopyrochlor 4.77
Barium-Lamprophyllit 3.4
Barium-Uranophan 8.23
Bariumbannisterit 6.83
Barlowit 3.1
Barquillit 2.453
Barringerit 2.45
Barringtonit 4.12
